node_index,x,y,z,label
64,30.32653918890523,-37.46039083841143,63.64467325068293,7Networks_RH_SomMot_7
65,11.233746898263021,-23.982692307692304,65.2001240694789,7Networks_RH_SomMot_8
66,50.82606009114082,-62.97551556345099,15.693288020390824,7Networks_RH_DorsAttn_Post_1
67,49.487997614432686,-23.888176531981514,42.04279111376174,7Networks_RH_DorsAttn_Post_2
68,39.27041800643087,-45.203536977491964,49.078778135048225,7Networks_RH_DorsAttn_Post_3
69,26.604292421193833,-66.71670020120725,50.22622401073106,7Networks_RH_DorsAttn_Post_4
70,14.498440011345366,-52.47092748416375,65.62730452869434,7Networks_RH_DorsAttn_Post_5
71,48.8349745870394,9.853160736975866,27.012388818297325,7Networks_RH_DorsAttn_PrCv_1
72,28.164258019034193,-2.3935495241452287,58.82596052167784,7Networks_RH_DorsAttn_FEF_1
73,58.12037833190027,-42.088420750931505,13.433218687302954,7Networks_RH_SalVentAttn_TempOccPar_1
74,60.397688406651724,-25.579667413610096,27.947517395919334,7Networks_RH_SalVentAttn_TempOccPar_2
75,40.30610681173857,7.997777948049958,0.8121982989809169,7Networks_RH_SalVentAttn_FrOperIns_1
76,10.626532697547688,-30.49778610354224,45.57101498637603,7Networks_RH_SalVentAttn_Med_1
77,7.74393530997304,5.732581883525285,52.52724005554194,7Networks_RH_SalVentAttn_Med_2
78,-1.0,43.0,-27.0,7Networks_RH_Limbic_OFC_1
79,38.219268721793014,-0.161860322802724,-35.38621586475943,7Networks_RH_Limbic_TempPole_1
80,57.624374999999986,-38.768437500000005,43.43718749999999,7Networks_RH_Cont_Par_1
81,45.14712507409604,-62.65145228215768,45.78897451096621,7Networks_RH_Cont_Par_2
82,29.752135209912183,57.0521472392638,-2.633826536749666,7Networks_RH_Cont_PFCl_1
83,45.24851056147318,38.691731359451154,14.976981404585672,7Networks_RH_Cont_PFCl_2
84,31.644697254606996,45.47508461827755,29.082267769838282,7Networks_RH_Cont_PFCl_3
85,43.229009595613434,16.478067169294036,45.176405071967096,7Networks_RH_Cont_PFCl_4
86,5.004135829342616,-26.900740095777095,32.91663038746191,7Networks_RH_Cont_Cing_1
87,6.379399740751822,26.734769169408708,31.297038588094523,7Networks_RH_Cont_PFCmp_1
88,10.053492297953156,-64.62513188436378,42.362945769149604,7Networks_RH_Cont_pCun_1
89,54.73197759376521,-50.76144666341939,30.562591329761318,7Networks_RH_Default_Par_1
90,61.49238578680203,-23.327180433779418,-18.019447557518625,7Networks_RH_Default_Temp_1
91,50.81863616170591,6.435917370057751,-17.240781874722344,7Networks_RH_Default_Temp_2
92,57.302672881194724,-26.288880433748687,-2.3069532959193424,7Networks_RH_Default_Temp_3
93,35.03137978772496,26.790801415166897,-13.774342408860178,7Networks_RH_Default_PFCv_1
94,50.90621350151832,28.118430273300618,-0.024059799112350788,7Networks_RH_Default_PFCv_2
95,6.762141205278198,48.24867364984357,0.5640048972928895,7Networks_RH_Default_PFCdPFCm_1
96,11.741710593436494,45.91503712520546,39.92926373065805,7Networks_RH_Default_PFCdPFCm_2
97,26.08699643039266,24.260683324834275,49.428148903620595,7Networks_RH_Default_PFCdPFCm_3
98,12.584006054490416,-54.0443995963673,14.642532795156413,7Networks_RH_Default_pCunPCC_1
99,7.037169194171867,-52.45658638120726,30.405441570026767,7Networks_RH_Default_pCunPCC_2
